"Date","Price","Open","High","Low","Change %"
"Jul 14, 2013","2.9284","2.9455","2.9554","2.8887","-0.72%"
"Jul 07, 2013","2.9497","2.9283","2.9768","2.8756","0.65%"
"Jun 30, 2013","2.9306","2.9314","2.9885","2.8978","-0.12%"
"Jun 23, 2013","2.9342","2.9806","3.0221","2.9173","-1.84%"
"Jun 16, 2013","2.9893","2.9150","3.0220","2.9144","2.39%"
"Jun 09, 2013","2.9196","2.9028","2.9778","2.8891","0.19%"
"Jun 02, 2013","2.9141","2.8478","2.9701","2.8473","2.22%"
"May 26, 2013","2.8508","2.7905","2.8851","2.7777","2.06%"
"May 19, 2013","2.7932","2.7929","2.8176","2.7652","-0.05%"
"May 12, 2013","2.7946","2.7592","2.8167","2.7559","0.99%"
"May 05, 2013","2.7672","2.7926","2.8030","2.7588","-0.97%"
"Apr 28, 2013","2.7942","2.7807","2.8030","2.7708","0.42%"
"Apr 21, 2013","2.7824","2.7425","2.7961","2.7322","1.51%"
"Apr 14, 2013","2.7410","2.7394","2.7668","2.7249","-0.08%"
"Apr 07, 2013","2.7431","2.7476","2.7597","2.7168","-0.29%"
"Mar 31, 2013","2.7510","2.7449","2.7640","2.7127","-0.00%"
"Mar 24, 2013","2.7511","2.7642","2.7720","2.7351","-0.46%"
"Mar 17, 2013","2.7638","2.7336","2.7719","2.7302","1.23%"
"Mar 10, 2013","2.7303","2.6909","2.7476","2.6709","1.40%"
"Mar 03, 2013","2.6925","2.7029","2.7305","2.6755","-0.32%"
